"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"291","Morus bassanus","Sulidae","2005-01-20T09:28:00",-75.9172,34.9682,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_535","present",NA
"292","Larus philadelphia","Laridae","2005-01-21T09:11:00",-75.823,35.0192,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_722","present",NA
"293","Larus philadelphia","Laridae","2005-01-20T15:38:00",-75.8653,34.8647,"HumanObservation",2005,35,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_665","present",NA
"294","Morus bassanus","Sulidae","2005-01-20T12:24:00",-75.8108,34.9962,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_608","present",NA
"295","Morus bassanus","Sulidae","2005-01-19T14:52:00",-75.7357,34.9168,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_447","present",NA
"296","Morus bassanus","Sulidae","2005-02-01T12:36:00",-77.006,34.3807,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1179","present",NA
"297","Larus marinus","Laridae","2005-02-02T11:59:00",-77.0107,34.4428,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1246","present",NA
"298","Morus bassanus","Sulidae","2005-02-01T07:44:00",-76.6555,34.5638,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1092","present",NA
"299","Morus bassanus","Sulidae","2005-02-01T10:28:00",-76.8143,34.4457,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1145","present",NA
"300","Morus bassanus","Sulidae","2005-01-20T09:13:00",-75.9462,34.9535,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_527","present",NA
"301","Morus bassanus","Sulidae","2005-01-19T07:58:00",-76.3097,34.6165,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_326","present",NA
"302","Morus bassanus","Sulidae","2005-01-19T10:49:00",-76.2433,34.6887,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_360","present",NA
"303","Alca torda","Alcidae","2005-01-20T16:26:00",-75.7875,34.93,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_677","present",NA
"304","Morus bassanus","Sulidae","2005-02-01T12:11:00",-77.0043,34.4222,"HumanObservation",2005,30,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1163","present",NA
"305","Alca torda","Alcidae","2005-02-01T10:44:00",-76.848,34.4457,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1147","present",NA
"306","Morus bassanus","Sulidae","2005-01-25T14:56:00",-76.0863,34.8677,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_916","present",NA
"307","Morus bassanus","Sulidae","2005-01-21T10:06:00",-75.7225,35.069,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_757","present",NA
"308","Larus philadelphia","Laridae","2005-02-01T09:24:00",-76.6823,34.4537,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1123","present",NA
"309","Larus philadelphia","Laridae","2005-01-21T12:08:00",-75.6915,35.0492,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_852","present",NA
"310","Larus philadelphia","Laridae","2005-01-21T11:31:00",-75.6268,35.09,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_823","present",NA
"311","Larus philadelphia","Laridae","2005-01-20T13:54:00",-75.9693,34.878,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_653","present",NA
