"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"125","Larus marinus","Laridae","2005-07-29T17:43:48Z",-69.60836792,43.29879379,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","11159",NA,NA
"126","Oceanites oceanicus","Hydrobatidae","2005-07-23T18:52:48Z",-69.47684097,43.09874344,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7133",NA,NA
"127","Morus bassanus","Sulidae","2005-07-20T18:27:36Z",-69.54641724,43.19733047,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4036",NA,NA
"128","Larus marinus","Laridae","2005-07-20T18:20:24Z",-69.58383179,43.24824905,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","3988",NA,NA
"129","Oceanites oceanicus","Hydrobatidae","2005-07-28T20:31:12Z",-70.07958221,43.1159153,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10955",NA,NA
"130","Larus argentatus","Laridae","2005-07-20T18:27:00Z",-69.54641724,43.19733047,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4029",NA,NA
"131","Larus argentatus","Laridae","2005-07-21T13:15:36Z",-69.51974487,43.14525032,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5768",NA,NA
"132","Larus argentatus","Laridae","2005-07-24T18:48:00Z",-69.47205353,43.0983448,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","8357",NA,NA
"133","Larus marinus","Laridae","2005-07-21T11:49:48Z",-69.60458374,43.30075073,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5247",NA,NA
"134","Puffinus gravis","Procellariidae","2005-07-23T19:15:00Z",-69.45833588,43.04658508,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7266",NA,NA
"135","Larus marinus","Laridae","2005-07-20T19:03:00Z",-69.54641724,43.19733047,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4251",NA,NA
"136","Larus marinus","Laridae","2005-07-15T18:42:00Z",-69.54767227,43.23541451,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","2708",NA,NA
"137","Larus marinus","Laridae","2005-07-15T18:43:48Z",-69.54767227,43.23541451,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","2718",NA,NA
"138","Larus marinus","Laridae","2005-07-15T21:09:36Z",-70.0735817,43.13225174,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","3601",NA,NA
"139","Oceanites oceanicus","Hydrobatidae","2005-07-26T17:44:24Z",-70.04224777,43.20700073,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","9827",NA,NA
"140","Morus bassanus","Sulidae","2005-07-29T19:59:24Z",-70.08554459,43.11989975,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","11981",NA,NA
"141","Larus marinus","Laridae","2005-07-21T12:13:48Z",-69.54815674,43.19741631,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5398",NA,NA
"142","Larus argentatus","Laridae","2005-07-28T20:30:36Z",-70.07958221,43.1159153,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10951",NA,NA
"143","Larus argentatus","Laridae","2005-07-12T15:25:48Z",-69.62282944,43.30359459,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","1235",NA,NA
"144","Larus argentatus","Laridae","2005-07-28T18:18:00Z",-69.58684,43.24659,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10148",NA,NA
"145","Larus marinus","Laridae","2005-07-24T17:01:48Z",-69.591,43.24072,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7714",NA,NA
"146","Oceanites oceanicus","Hydrobatidae","2005-07-23T19:40:12Z",-70.08092,43.11217,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7420",NA,NA
