"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"80","Larus atricilla","Laridae","10/5/2017",-52.51124,5.163592,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113765","present",NA
"81","Larus atricilla","Laridae","10/5/2017",-52.47001,5.068418,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113752","present",NA
"82","Larus atricilla","Laridae","10/5/2017",-52.8691,5.54761,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113785","present",NA
"83","Larus atricilla","Laridae","10/5/2017",-52.91994,5.523057,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113778","present",NA
"84","Fregata magnificens","Fregatidae","10/4/2017",-51.41922,5.045392,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112842","present",NA
"85","Anous stolidus","Sternidae","9/30/2017",-50.08771,6.313102,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111843","present",NA
"86","Anous stolidus","Sternidae","9/30/2017",-50.31231,6.13848,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111842","present",NA
"87","Fregata magnificens","Fregatidae","9/26/2017",-52.55933,5.124257,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112847","present",NA
"88","Anous stolidus","Sternidae","10/4/2017",-50.25687,6.853418,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111848","present",NA
"89","Fregata magnificens","Fregatidae","10/5/2017",-52.89039,5.519055,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112850","present",NA
"90","Larus atricilla","Laridae","10/5/2017",-52.99634,5.650835,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113800","present",NA
"91","Fregata magnificens","Fregatidae","10/2/2017",-52.731,5.681875,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112851","present",NA
"92","Larus atricilla","Laridae","10/2/2017",-52.94968,5.492883,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113775","present",NA
"93","Larus atricilla","Laridae","9/30/2017",-52.39005,5.027037,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113746","present",NA
"94","Anous stolidus","Sternidae","9/26/2017",-52.22046,7.253533,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111855","present",NA
"95","Fregata magnificens","Fregatidae","10/7/2017",-51.8856,5.117477,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112845","present",NA
"96","Fregata magnificens","Fregatidae","10/4/2017",-52.01487,5.268122,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112848","present",NA
"97","Larus atricilla","Laridae","10/5/2017",-53.31956,5.576677,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113790","present",NA
"98","Larus atricilla","Laridae","10/5/2017",-52.46267,5.051542,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113750","present",NA
"99","Larus atricilla","Laridae","10/2/2017",-52.95921,5.485218,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113774","present",NA
